Sample,Genotype,Tissue,Rep,Target,Ct,Amp,Set
Col-F2,Col-0,Flower,1,RUBY,41.45,2.02,1
Col-2,Col-0,Seedlings,1,RUBY,42.12,2.02,1
Col-F3,Col-0,Flower,1,RUBY,39.34,2.02,1
Col-1,Col-0,Seedlings,1,RUBY,41.93,2.02,1
Col-3,Col-0,Seedlings,1,RUBY,41.18,2.02,1
Col-F4,Col-0,Flower,1,RUBY,42.66,2.02,1
Col-P2,Col-0,Root,1,RUBY,36.75,2.02,1
Col-L2,Col-0,Leaf,1,RUBY,39.39,2.02,1
Col-L3,Col-0,Leaf,1,RUBY,39.2,2.02,1
Col-P1,Col-0,Root,1,RUBY,35.97,2.02,1
Col-P4,Col-0,Root,1,RUBY,37.76,2.02,1
Col-L4,Col-0,Leaf,1,RUBY,41.05,2.02,1
08530-1,8530,Seedlings,1,RUBY,26.73,2.02,1
08530-LC,8530,Leaf,1,RUBY,26.1,2.02,1
08530-2,8530,Seedlings,1,RUBY,27.04,2.02,1
08530-FC,8530,Flower,1,RUBY,25.49,2.02,1
08530-P4,8530,Root,1,RUBY,27.47,2.02,1
08530-F3,8530,Flower,1,RUBY,25.19,2.02,1
08530-P2,8530,Root,1,RUBY,26.49,2.02,1
08530-F1,8530,Flower,1,RUBY,25.42,2.02,1
08530-L1,8530,Leaf,1,RUBY,25.53,2.02,1
08530-3,8530,Seedlings,1,RUBY,27.68,2.02,1
08530-L2,8530,Leaf,1,RUBY,28.24,2.02,1
08530-P5,8530,Root,1,RUBY,28.2,2.02,1
29080-L2,29080,Leaf,1,RUBY,NA,2.02,1
29080-P5,29080,Root,1,RUBY,28.11,2.02,1
29080-L3,29080,Leaf,1,RUBY,29.03,2.02,1
29080-F3,29080,Flower,1,RUBY,26.25,2.02,1
29080-F1,29080,Flower,1,RUBY,26.34,2.02,1
29080-1,29080,Seedlings,1,RUBY,27.75,2.02,1
29080-2,29080,Seedlings,1,RUBY,28.48,2.02,1
29080-F2,29080,Flower,1,RUBY,27.13,2.02,1
29080-P3,29080,Root,1,RUBY,27.5,2.02,1
29080-P2,29080,Root,1,RUBY,27.34,2.02,1
29080-3,29080,Seedlings,1,RUBY,27.02,2.02,1
29080-LA,29080,Leaf,1,RUBY,25.9,2.02,1
Col-F2,Col-0,Flower,2,RUBY,41.51,2.02,1
Col-2,Col-0,Seedlings,2,RUBY,38.19,2.02,1
Col-F3,Col-0,Flower,2,RUBY,36.46,2.02,1
Col-1,Col-0,Seedlings,2,RUBY,39.38,2.02,1
Col-3,Col-0,Seedlings,2,RUBY,38.09,2.02,1
Col-F4,Col-0,Flower,2,RUBY,37.62,2.02,1
Col-P2,Col-0,Root,2,RUBY,35.82,2.02,1
Col-L2,Col-0,Leaf,2,RUBY,40.09,2.02,1
Col-L3,Col-0,Leaf,2,RUBY,36.61,2.02,1
Col-P1,Col-0,Root,2,RUBY,35.06,2.02,1
Col-P4,Col-0,Root,2,RUBY,37.16,2.02,1
Col-L4,Col-0,Leaf,2,RUBY,41.8,2.02,1
08530-1,8530,Seedlings,2,RUBY,26.44,2.02,1
08530-LC,8530,Leaf,2,RUBY,26.01,2.02,1
08530-2,8530,Seedlings,2,RUBY,26.32,2.02,1
08530-FC,8530,Flower,2,RUBY,25.17,2.02,1
08530-P4,8530,Root,2,RUBY,28.47,2.02,1
08530-F3,8530,Flower,2,RUBY,25.92,2.02,1
08530-P2,8530,Root,2,RUBY,26.98,2.02,1
08530-F1,8530,Flower,2,RUBY,26,2.02,1
08530-L1,8530,Leaf,2,RUBY,25.46,2.02,1
08530-3,8530,Seedlings,2,RUBY,27.58,2.02,1
08530-L2,8530,Leaf,2,RUBY,27.69,2.02,1
08530-P5,8530,Root,2,RUBY,28.09,2.02,1
29080-L2,29080,Leaf,2,RUBY,NA,2.02,1
29080-P5,29080,Root,2,RUBY,27.81,2.02,1
29080-L3,29080,Leaf,2,RUBY,29.1,2.02,1
29080-F3,29080,Flower,2,RUBY,26.42,2.02,1
29080-F1,29080,Flower,2,RUBY,26.31,2.02,1
29080-1,29080,Seedlings,2,RUBY,27.88,2.02,1
29080-2,29080,Seedlings,2,RUBY,28.28,2.02,1
29080-F2,29080,Flower,2,RUBY,27.08,2.02,1
29080-P3,29080,Root,2,RUBY,27.5,2.02,1
29080-P2,29080,Root,2,RUBY,27.45,2.02,1
29080-3,29080,Seedlings,2,RUBY,27.35,2.02,1
29080-LA,29080,Leaf,2,RUBY,26.02,2.02,1
Col-F2,Col-0,Flower,1,PP2AA3,24.85,2.01,1
Col-2,Col-0,Seedlings,1,PP2AA3,24.01,2.01,1
Col-F3,Col-0,Flower,1,PP2AA3,24.06,2.01,1
Col-1,Col-0,Seedlings,1,PP2AA3,24.34,2.01,1
Col-3,Col-0,Seedlings,1,PP2AA3,24.47,2.01,1
Col-F4,Col-0,Flower,1,PP2AA3,24.3,2.01,1
Col-P2,Col-0,Root,1,PP2AA3,24.17,2.01,1
Col-L2,Col-0,Leaf,1,PP2AA3,25.27,2.01,1
Col-L3,Col-0,Leaf,1,PP2AA3,25.02,2.01,1
Col-P1,Col-0,Root,1,PP2AA3,23.19,2.01,1
Col-P4,Col-0,Root,1,PP2AA3,23.18,2.01,1
Col-L4,Col-0,Leaf,1,PP2AA3,25.2,2.01,1
08530-1,8530,Seedlings,1,PP2AA3,23.71,2.01,1
08530-LC,8530,Leaf,1,PP2AA3,23.54,2.01,1
08530-2,8530,Seedlings,1,PP2AA3,23.74,2.01,1
08530-FC,8530,Flower,1,PP2AA3,23.46,2.01,1
08530-P4,8530,Root,1,PP2AA3,23.72,2.01,1
08530-F3,8530,Flower,1,PP2AA3,23.28,2.01,1
08530-P2,8530,Root,1,PP2AA3,23.49,2.01,1
08530-F1,8530,Flower,1,PP2AA3,23.29,2.01,1
08530-L1,8530,Leaf,1,PP2AA3,24.22,2.01,1
08530-3,8530,Seedlings,1,PP2AA3,24.27,2.01,1
08530-L2,8530,Leaf,1,PP2AA3,24.21,2.01,1
08530-P5,8530,Root,1,PP2AA3,27.41,2.01,1
29080-L2,29080,Leaf,1,PP2AA3,NA,2.01,1
29080-P5,29080,Root,1,PP2AA3,23.87,2.01,1
29080-L3,29080,Leaf,1,PP2AA3,25.03,2.01,1
29080-F3,29080,Flower,1,PP2AA3,23.93,2.01,1
29080-F1,29080,Flower,1,PP2AA3,23.62,2.01,1
29080-1,29080,Seedlings,1,PP2AA3,24.51,2.01,1
29080-2,29080,Seedlings,1,PP2AA3,24.19,2.01,1
29080-F2,29080,Flower,1,PP2AA3,24.39,2.01,1
29080-P3,29080,Root,1,PP2AA3,23.57,2.01,1
29080-P2,29080,Root,1,PP2AA3,22.78,2.01,1
29080-3,29080,Seedlings,1,PP2AA3,23.55,2.01,1
29080-LA,29080,Leaf,1,PP2AA3,25.64,2.01,1
Col-F2,Col-0,Flower,2,PP2AA3,25.03,2.01,1
Col-2,Col-0,Seedlings,2,PP2AA3,25.05,2.01,1
Col-F3,Col-0,Flower,2,PP2AA3,24.21,2.01,1
Col-1,Col-0,Seedlings,2,PP2AA3,24.45,2.01,1
Col-3,Col-0,Seedlings,2,PP2AA3,24.61,2.01,1
Col-F4,Col-0,Flower,2,PP2AA3,24.33,2.01,1
Col-P2,Col-0,Root,2,PP2AA3,24.15,2.01,1
Col-L2,Col-0,Leaf,2,PP2AA3,25.25,2.01,1
Col-L3,Col-0,Leaf,2,PP2AA3,25.24,2.01,1
Col-P1,Col-0,Root,2,PP2AA3,23.46,2.01,1
Col-P4,Col-0,Root,2,PP2AA3,23.62,2.01,1
Col-L4,Col-0,Leaf,2,PP2AA3,25.35,2.01,1
08530-1,8530,Seedlings,2,PP2AA3,24.51,2.01,1
08530-LC,8530,Leaf,2,PP2AA3,25.04,2.01,1
08530-2,8530,Seedlings,2,PP2AA3,24.47,2.01,1
08530-FC,8530,Flower,2,PP2AA3,24.27,2.01,1
08530-P4,8530,Root,2,PP2AA3,23.52,2.01,1
08530-F3,8530,Flower,2,PP2AA3,23.27,2.01,1
08530-P2,8530,Root,2,PP2AA3,23.65,2.01,1
08530-F1,8530,Flower,2,PP2AA3,23.44,2.01,1
08530-L1,8530,Leaf,2,PP2AA3,24.33,2.01,1
08530-3,8530,Seedlings,2,PP2AA3,24.58,2.01,1
08530-L2,8530,Leaf,2,PP2AA3,24.51,2.01,1
08530-P5,8530,Root,2,PP2AA3,27.67,2.01,1
29080-L2,29080,Leaf,2,PP2AA3,NA,2.01,1
29080-P5,29080,Root,2,PP2AA3,23.73,2.01,1
29080-L3,29080,Leaf,2,PP2AA3,25.23,2.01,1
29080-F3,29080,Flower,2,PP2AA3,23.86,2.01,1
29080-F1,29080,Flower,2,PP2AA3,23.58,2.01,1
29080-1,29080,Seedlings,2,PP2AA3,24.7,2.01,1
29080-2,29080,Seedlings,2,PP2AA3,24.57,2.01,1
29080-F2,29080,Flower,2,PP2AA3,24.42,2.01,1
29080-P3,29080,Root,2,PP2AA3,23.62,2.01,1
29080-P2,29080,Root,2,PP2AA3,23.27,2.01,1
29080-3,29080,Seedlings,2,PP2AA3,23.8,2.01,1
29080-LA,29080,Leaf,2,PP2AA3,26.42,2.01,1
29080-L2,29080,Leaf,1,RUBY,28.42,2.01,2
29080-P5,29080,Root,1,RUBY,27.76,2.01,2
29080-L3,29080,Leaf,1,RUBY,28.75,2.01,2
29080-F3,29080,Flower,1,RUBY,26.54,2.01,2
29080-F1,29080,Flower,1,RUBY,26.37,2.01,2
29080-1,29080,Seedlings,1,RUBY,27.89,2.01,2
29080-2,29080,Seedlings,1,RUBY,29.07,2.01,2
29080-F2,29080,Flower,1,RUBY,26.99,2.01,2
29080-P3,29080,Root,1,RUBY,29.09,2.01,2
29080-P2,29080,Root,1,RUBY,29.66,2.01,2
29080-3,29080,Seedlings,1,RUBY,29.08,2.01,2
29080-LA,29080,Leaf,1,RUBY,27.81,2.01,2
29080-L2',29080,Leaf,1,RUBY,27.97,2.01,2
29080-LA',29080,Leaf,1,RUBY,27.01,2.01,2
29080-LB',29080,Leaf,1,RUBY,27.47,2.01,2
29080-LC',29080,Leaf,1,RUBY,28.79,2.01,2
29080-L2,29080,Leaf,2,RUBY,28.45,2.01,2
29080-P5,29080,Root,2,RUBY,28.14,2.01,2
29080-L3,29080,Leaf,2,RUBY,29,2.01,2
29080-F3,29080,Flower,2,RUBY,27.1,2.01,2
29080-F1,29080,Flower,2,RUBY,26.25,2.01,2
29080-1,29080,Seedlings,2,RUBY,27.79,2.01,2
29080-2,29080,Seedlings,2,RUBY,29.01,2.01,2
29080-F2,29080,Flower,2,RUBY,26.86,2.01,2
29080-P3,29080,Root,2,RUBY,29.08,2.01,2
29080-P2,29080,Root,2,RUBY,29.09,2.01,2
29080-3,29080,Seedlings,2,RUBY,28.5,2.01,2
29080-LA,29080,Leaf,2,RUBY,27.25,2.01,2
29080-L2',29080,Leaf,2,RUBY,28.49,2.01,2
29080-LA',29080,Leaf,2,RUBY,26.76,2.01,2
29080-LB',29080,Leaf,2,RUBY,27.29,2.01,2
29080-LC',29080,Leaf,2,RUBY,28.86,2.01,2
29080-L2,29080,Leaf,1,PP2AA3,26.46,2,2
29080-P5,29080,Root,1,PP2AA3,24.22,2,2
29080-L3,29080,Leaf,1,PP2AA3,25.26,2,2
29080-F3,29080,Flower,1,PP2AA3,24.37,2,2
29080-F1,29080,Flower,1,PP2AA3,24.17,2,2
29080-1,29080,Seedlings,1,PP2AA3,24.75,2,2
29080-2,29080,Seedlings,1,PP2AA3,24.79,2,2
29080-F2,29080,Flower,1,PP2AA3,24.74,2,2
29080-P3,29080,Root,1,PP2AA3,25.64,2,2
29080-P2,29080,Root,1,PP2AA3,24.66,2,2
29080-3,29080,Seedlings,1,PP2AA3,25.35,2,2
29080-LA,29080,Leaf,1,PP2AA3,26.73,2,2
29080-L2',29080,Leaf,1,PP2AA3,26.03,2,2
29080-LA',29080,Leaf,1,PP2AA3,25.66,2,2
29080-LB',29080,Leaf,1,PP2AA3,25.4,2,2
29080-LC',29080,Leaf,1,PP2AA3,26.15,2,2
29080-L2,29080,Leaf,2,PP2AA3,26.72,2,2
29080-P5,29080,Root,2,PP2AA3,24.81,2,2
29080-L3,29080,Leaf,2,PP2AA3,25.8,2,2
29080-F3,29080,Flower,2,PP2AA3,25.14,2,2
29080-F1,29080,Flower,2,PP2AA3,25.27,2,2
29080-1,29080,Seedlings,2,PP2AA3,25.53,2,2
29080-2,29080,Seedlings,2,PP2AA3,25.78,2,2
29080-F2,29080,Flower,2,PP2AA3,25.3,2,2
29080-P3,29080,Root,2,PP2AA3,25.63,2,2
29080-P2,29080,Root,2,PP2AA3,25.19,2,2
29080-3,29080,Seedlings,2,PP2AA3,27.02,2,2
29080-LA,29080,Leaf,2,PP2AA3,27.37,2,2
29080-L2',29080,Leaf,2,PP2AA3,26.22,2,2
29080-LA',29080,Leaf,2,PP2AA3,25.61,2,2
29080-LB',29080,Leaf,2,PP2AA3,25.8,2,2
29080-LC',29080,Leaf,2,PP2AA3,26.44,2,2
